Nº de serie,Tipo,Clasificación,Tipo de ubicación,Descripción,Tipo de ubicación,Lugar asociado,Ubicación: Calle,Ubicación: Altura,Ubicación: Letra,Ubicación: Bis,Ubicación: Intersección,Ubicación: Coordenada X,Ubicación: Coordenada Y,Responsable,Dirección,Secretaría,Estado,ID,Fecha alta,Fecha baja,Archivo imagen,
134100,Lámpara,Sodio - 250,En Columna - En Calle,CARAC:00,En Columna - En Calle,,JUAN PABLO II,1341,,,,5432515.826938775,6355153.300816326,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516724,22-07-2026,,,
132100,Lámpara,Sodio - 250,En Columna - En Calle,CARAC:00,En Columna - En Calle,,JUAN PABLO II,1321,,,,5432516.753469387,6355128.880408163,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516723,22-07-2026,,,
128100,Lámpara,Sodio - 250,En Columna - En Calle,CARAC:00,En Columna - En Calle,,JUAN PABLO II,1281,,,,5432509.221632653,6355321.066938776,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516722,22-07-2026,,,
126100,Lámpara,Sodio - 250,En Columna - En Calle,CARAC:00,En Columna - En Calle,,JUAN PABLO II,1261,,,,5432510.201224489,6355296.830204082,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516721,22-07-2026,,,
124100,Lámpara,Sodio - 250,En Columna - En Calle,CARAC:00,En Columna - En Calle,,JUAN PABLO II,1241,,,,5432511.180816326,6355272.593469388,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516720,22-07-2026,,,
122100,Lámpara,Sodio - 250,En Columna - En Calle,CARAC:00,En Columna - En Calle,,JUAN PABLO II,1221,,,,5432512.1604081625,6355248.356734694,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516719,22-07-2026,,,
118104,Lámpara,Sodio - 250,En Columna - En Calle,CARAC:04,En Columna - En Calle,,JUAN PABLO II,1181,B,,,5432504.797142857,6355440.055510204,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516718,22-07-2026,,,
116104,Lámpara,Sodio - 250,En Columna - En Calle,CARAC:04,En Columna - En Calle,,JUAN PABLO II,1161,B,,,5432505.682857143,6355415.761632653,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516717,22-07-2026,,,
114104,Lámpara,Sodio - 250,En Columna - En Calle,CARAC:04,En Columna - En Calle,,JUAN PABLO II,1141,B,,,5432506.568571429,6355391.467755102,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516716,22-07-2026,,,
112104,Lámpara,Sodio - 250,En Columna - En Calle,CARAC:04,En Columna - En Calle,,JUAN PABLO II,1121,B,,,5432507.454285714,6355367.173877551,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516715,22-07-2026,,,
159000,Lámpara,Sodio - 250,En Columna - En Calle,CARAC:00,En Columna - En Calle,,ROSA JOSE MARIA,1590,,,,5432420.789655287,6354835.796921852,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516695,22-07-2026,,,
157000,Lámpara,Sodio - 250,En Columna - En Calle,CARAC:00,En Columna - En Calle,,ROSA JOSE MARIA,1570,,,,5432418.312460904,6354870.6430759765,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516694,22-07-2026,,,
155000,Lámpara,Sodio - 250,En Columna - En Calle,CARAC:00,En Columna - En Calle,,ROSA JOSE MARIA,1550,,,,5432415.83526652,6354905.489230101,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516693,22-07-2026,,,
153000,Lámpara,Sodio - 250,En Columna - En Calle,CARAC:00,En Columna - En Calle,,ROSA JOSE MARIA,1530,,,,5432413.3580721365,6354940.3353842255,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516692,22-07-2026,,,
151000,Lámpara,Sodio - 250,En Columna - En Calle,CARAC:00,En Columna - En Calle,,ROSA JOSE MARIA,1510,,,,5432410.880877753,6354975.18153835,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516691,22-07-2026,,,
148000,Lámpara,Led - 27,En Columna - En Calle,CARAC:00,En Columna - En Calle,,ROSA JOSE MARIA,1480,,,,5432408.459375,6355010.080625,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516690,22-07-2026,,,
146000,Lámpara,Led - 27,En Columna - En Calle,CARAC:00,En Columna - En Calle,,ROSA JOSE MARIA,1460,,,,5432406.869791666,6355033.370208333,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516689,22-07-2026,,,
144000,Lámpara,Led - 27,En Columna - En Calle,CARAC:00,En Columna - En Calle,,ROSA JOSE MARIA,1440,,,,5432405.280208333,6355056.659791667,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516688,22-07-2026,,,
142000,Lámpara,Led - 27,En Columna - En Calle,CARAC:00,En Columna - En Calle,,ROSA JOSE MARIA,1420,,,,5432403.690625,6355079.949375,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516687,22-07-2026,,,
142000,Lámpara,Led - 27,En Columna - En Calle,CARAC:00,En Columna - En Calle,,ROSA JOSE MARIA,1420,,,,5432403.690625,6355079.949375,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516686,22-07-2026,,,
138000,Lámpara,Led - 27,En Columna - En Calle,CARAC:00,En Columna - En Calle,,ROSA JOSE MARIA,1380,,,,5432400.9868749995,6355122.759375,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516685,22-07-2026,,,
136000,Lámpara,Led - 27,En Columna - En Calle,CARAC:00,En Columna - En Calle,,ROSA JOSE MARIA,1360,,,,5432399.572291667,6355147.036458334,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516684,22-07-2026,,,
134000,Lámpara,Led - 27,En Columna - En Calle,CARAC:00,En Columna - En Calle,,ROSA JOSE MARIA,1340,,,,5432398.157708333,6355171.313541667,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516683,22-07-2026,,,
132000,Lámpara,Led - 27,En Columna - En Calle,CARAC:00,En Columna - En Calle,,ROSA JOSE MARIA,1320,,,,5432396.743125,6355195.590625,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516682,22-07-2026,,,
129000,Lámpara,Led - 27,En Columna - En Calle,CARAC:00,En Columna - En Calle,,ROSA JOSE MARIA,1290,,,,5432394.25,6355234.971666667,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516681,22-07-2026,,,
