N.º Serie,Tipo,Material,Ubicacion,Carac,,Nombre Calle,Altura,Letra,Bis,,Coordenada X,Coordenada Y,Zona,,ID,Alta,Baja
12100,Columna,Acero,En Calle,CARAC: 00,,DE ARANA  Y  GOIRI SABINO,121,,,,5440365.955714285,6355833.217142857,Alumbrado Zona 2,Dado de Baja,457654,05-01-2021,13-08-2026
178012,Columna,Acero,En Calle,CARAC: 12,,"CENTENARIO ""NEWELL'S OLD BOYS""",1780,,,,5438251.4662500005,6354041.13125,Alumbrado Zona 2,Dado de Baja,457644,05-01-2021,13-08-2026
177100,Columna,Acero,En Calle,CARAC: 00,,"CENTENARIO ""NEWELL'S OLD BOYS""",1771,,,,5438268.831428572,6354049.317142857,Alumbrado Zona 2,Dado de Baja,457643,05-01-2021,13-08-2026
177000,Columna,Acero,En Calle,CARAC: 00,,"CENTENARIO ""NEWELL'S OLD BOYS""",1770,,,,5438253.980833334,6354053.654166667,Alumbrado Zona 2,Dado de Baja,457642,05-01-2021,13-08-2026
176012,Columna,Acero,En Calle,CARAC: 12,,"CENTENARIO ""NEWELL'S OLD BOYS""",1760,,,,5438256.495416667,6354066.177083333,Alumbrado Zona 2,Dado de Baja,457641,05-01-2021,13-08-2026
174100,Columna,Acero,En Calle,CARAC: 00,,"CENTENARIO ""NEWELL'S OLD BOYS""",1741,,,,5438275.872244897,6354085.056938776,Alumbrado Zona 2,Dado de Baja,457640,05-01-2021,13-08-2026
174012,Columna,Acero,En Calle,CARAC: 12,,"CENTENARIO ""NEWELL'S OLD BOYS""",1740,,,,5438261.524583333,6354091.222916666,Alumbrado Zona 2,Dado de Baja,457639,05-01-2021,13-08-2026
174000,Columna,Acero,En Calle,CARAC: 00,,"CENTENARIO ""NEWELL'S OLD BOYS""",1740,,,,5438261.524583333,6354091.222916666,Alumbrado Zona 2,Dado de Baja,457638,05-01-2021,13-08-2026
172012,Columna,Acero,En Calle,CARAC: 12,,"CENTENARIO ""NEWELL'S OLD BOYS""",1720,,,,5438266.55375,6354116.26875,Alumbrado Zona 2,Dado de Baja,457637,05-01-2021,13-08-2026
712500,Columna,Acero,En Calle,CARAC: 00,,556,7125,,,,5438078.300000001,6346695545,Alumbrado Zona 3,Dado de Baja,457622,05-01-2021,13-08-2026
279800,Transversal,Alambre,En Calle,,,DEL VALLE ARISTOBULO,2798,,,,5438403.24,6356675.71,Alumbrado Zona 2,Dado de Baja,456645,27-12-2020,13-08-2026
277500,Transversal,Alambre,En Calle,,,DEL VALLE ARISTOBULO,2775,,,,5438435.955918368,6356677.059387755,Alumbrado Zona 2,Dado de Baja,456644,27-12-2020,13-08-2026
274500,Transversal,Alambre,En Calle,,,DEL VALLE ARISTOBULO,2745,,,,5438476.850816326,6356678.746122449,Alumbrado Zona 2,Dado de Baja,456643,27-12-2020,13-08-2026
270500,Transversal,Alambre,En Calle,,,DEL VALLE ARISTOBULO,2705,,,,5438531.3773469385,6356680.9951020405,Alumbrado Zona 2,Dado de Baja,456642,27-12-2020,13-08-2026
269600,Transversal,Alambre,En Calle,,,DEL VALLE ARISTOBULO,2696,,,,5438538.832916667,6356681.3025,Alumbrado Zona 2,Dado de Baja,456641,27-12-2020,13-08-2026
28502,Transversal,Cable Acerado,En Calle,,,SEGUI JUAN FRANCISCO,285,,Bis,,5441372.265714286,6350984.032857143,Alumbrado Zona 3,Dado de Baja,456640,27-12-2020,13-08-2026
25502,Transversal,Cable Acerado,En Calle,,,SEGUI JUAN FRANCISCO,255,,Bis,,5441347.335102041,6350989.503265306,Alumbrado Zona 3,Dado de Baja,456639,27-12-2020,13-08-2026
21502,Transversal,Cable Acerado,En Calle,,,SEGUI JUAN FRANCISCO,215,,Bis,,5441314.094285714,6350996.797142857,Alumbrado Zona 3,Dado de Baja,456638,27-12-2020,13-08-2026
359000,Transversal,Cable Acerado,En Calle,,,SALTA,3590,,,,5437297.9783333335,6356410.531666666,Alumbrado Zona 2,Dado de Baja,456637,27-12-2020,13-08-2026
357000,Transversal,Cable Acerado,En Calle,,,SALTA,3570,,,,5437324.4991666665,6356405.060833333,Alumbrado Zona 2,Dado de Baja,456636,27-12-2020,13-08-2026
355000,Transversal,Cable Acerado,En Calle,,,SALTA,3550,,,,5437351.02,6356399.59,Alumbrado Zona 2,Dado de Baja,456635,27-12-2020,13-08-2026
353000,Transversal,Cable Acerado,En Calle,,,SALTA,3530,,,,5437377.5408333335,6356394.119166667,Alumbrado Zona 2,Dado de Baja,456634,27-12-2020,13-08-2026
351000,Transversal,Cable Acerado,En Calle,,,SALTA,3510,,,,5437404.0616666665,6356388.648333333,Alumbrado Zona 2,Dado de Baja,456633,27-12-2020,13-08-2026
349000,Transversal,Cable Acerado,En Calle,,,SALTA,3490,,,,5437425.286666667,6356384.270833333,Alumbrado Zona 2,Dado de Baja,456632,27-12-2020,13-08-2026
347000,Transversal,Cable Acerado,En Calle,,,SALTA,3470,,,,5437451.828333333,6356378.797916667,Alumbrado Zona 2,Dado de Baja,456631,27-12-2020,13-08-2026
345000,Transversal,Cable Acerado,En Calle,,,SALTA,3450,,,,5437478.37,6356373325,Alumbrado Zona 2,Dado de Baja,456630,27-12-2020,13-08-2026
343000,Transversal,Cable Acerado,En Calle,,,SALTA,3430,,,,5437504.911666667,6356367.852083334,Alumbrado Zona 2,Dado de Baja,456629,27-12-2020,13-08-2026
341000,Transversal,Cable Acerado,En Calle,,,SALTA,3410,,,,5437531.453333333,6356362.379166667,Alumbrado Zona 2,Dado de Baja,456628,27-12-2020,13-08-2026
339000,Transversal,Cable Acerado,En Calle,,,SALTA,3390,,,,5437552.657500001,6356358.006666667,Alumbrado Zona 2,Dado de Baja,456627,27-12-2020,13-08-2026
337000,Transversal,Cable Acerado,En Calle,,,SALTA,3370,,,,5437579.126250001,6356352.548333334,Alumbrado Zona 2,Dado de Baja,456626,27-12-2020,13-08-2026
335000,Transversal,Cable Acerado,En Calle,,,SALTA,3350,,,,5437605.595000001,6356347.09,Alumbrado Zona 2,Dado de Baja,456625,27-12-2020,13-08-2026
333000,Transversal,Cable Acerado,En Calle,,,SALTA,3330,,,,5437632.06375,6356341.631666667,Alumbrado Zona 2,Dado de Baja,456624,27-12-2020,13-08-2026
331000,Transversal,Cable Acerado,En Calle,,,SALTA,3310,,,,5437658.5325,6356336.173333334,Alumbrado Zona 2,Dado de Baja,456623,27-12-2020,13-08-2026
329000,Transversal,Cable Acerado,En Calle,,,SALTA,3290,,,,5437679.755833333,6356331.796666667,Alumbrado Zona 2,Dado de Baja,456622,27-12-2020,13-08-2026
327000,Transversal,Cable Acerado,En Calle,,,SALTA,3270,,,,5437706.345416667,6356326.3133333335,Alumbrado Zona 2,Dado de Baja,456621,27-12-2020,13-08-2026
325000,Transversal,Cable Acerado,En Calle,,,SALTA,3250,,,,5437732.9350000005,6356320.83,Alumbrado Zona 2,Dado de Baja,456620,27-12-2020,13-08-2026
323000,Transversal,Cable Acerado,En Calle,,,SALTA,3230,,,,5437759.524583333,6356315.346666667,Alumbrado Zona 2,Dado de Baja,456619,27-12-2020,13-08-2026
321000,Transversal,Cable Acerado,En Calle,,,SALTA,3210,,,,5437786.114166667,6356309.863333333,Alumbrado Zona 2,Dado de Baja,456618,27-12-2020,13-08-2026
319000,Transversal,Cable Acerado,En Calle,,,SALTA,3190,,,,5437806.389166666,6356305.681666667,Alumbrado Zona 2,Dado de Baja,456617,27-12-2020,13-08-2026
317000,Transversal,Cable Acerado,En Calle,,,SALTA,3170,,,,5437830.487083334,6356300.710833333,Alumbrado Zona 2,Dado de Baja,456616,27-12-2020,13-08-2026
315000,Transversal,Cable Acerado,En Calle,,,SALTA,3150,,,,5437854585,6356295.74,Alumbrado Zona 2,Dado de Baja,456615,27-12-2020,13-08-2026
313000,Transversal,Cable Acerado,En Calle,,,SALTA,3130,,,,5437878.682916666,6356290.769166666,Alumbrado Zona 2,Dado de Baja,456614,27-12-2020,13-08-2026
311000,Transversal,Cable Acerado,En Calle,,,SALTA,3110,,,,5437902.780833334,6356285.798333333,Alumbrado Zona 2,Dado de Baja,456613,27-12-2020,13-08-2026
309000,Transversal,Cable Acerado,En Calle,,,SALTA,3090,,,,5437943.446666666,6356277.411666666,Alumbrado Zona 2,Dado de Baja,456612,27-12-2020,13-08-2026
307000,Transversal,Cable Acerado,En Calle,,,SALTA,3070,,,,5437967.888333334,6356272.365833333,Alumbrado Zona 2,Dado de Baja,456611,27-12-2020,13-08-2026
305000,Transversal,Cable Acerado,En Calle,,,SALTA,3050,,,,5437992.33,6356267.32,Alumbrado Zona 2,Dado de Baja,456610,27-12-2020,13-08-2026
303000,Transversal,Cable Acerado,En Calle,,,SALTA,3030,,,,5438016.7716666665,6356262.274166667,Alumbrado Zona 2,Dado de Baja,456609,27-12-2020,13-08-2026
301000,Transversal,Cable Acerado,En Calle,,,SALTA,3010,,,,5438041.213333334,6356257.2283333335,Alumbrado Zona 2,Dado de Baja,456608,27-12-2020,13-08-2026
299000,Transversal,Cable Acerado,En Calle,,,SALTA,2990,,,,5438061.575833334,6356253025,Alumbrado Zona 2,Dado de Baja,456607,27-12-2020,13-08-2026
297000,Transversal,Cable Acerado,En Calle,,,SALTA,2970,,,,5438088.040416666,6356247.5625,Alumbrado Zona 2,Dado de Baja,456606,27-12-2020,13-08-2026
295000,Transversal,Cable Acerado,En Calle,,,SALTA,2950,,,,5438114505,6356242.1,Alumbrado Zona 2,Dado de Baja,456605,27-12-2020,13-08-2026
293000,Transversal,Cable Acerado,En Calle,,,SALTA,2930,,,,5438140.9695833335,6356236.6375,Alumbrado Zona 2,Dado de Baja,456604,27-12-2020,13-08-2026
291000,Transversal,Cable Acerado,En Calle,,,SALTA,2910,,,,5438167.434166666,6356231175,Alumbrado Zona 2,Dado de Baja,456603,27-12-2020,13-08-2026
289000,Transversal,Cable Acerado,En Calle,,,SALTA,2890,,,,5438188.651666666,6356226.795833333,Alumbrado Zona 2,Dado de Baja,456602,27-12-2020,13-08-2026
287000,Transversal,Cable Acerado,En Calle,,,SALTA,2870,,,,5438215.230833333,6356221.310416667,Alumbrado Zona 2,Dado de Baja,456601,27-12-2020,13-08-2026
285000,Transversal,Cable Acerado,En Calle,,,SALTA,2850,,,,5438241.81,6356215825,Alumbrado Zona 2,Dado de Baja,456600,27-12-2020,13-08-2026
283000,Transversal,Cable Acerado,En Calle,,,SALTA,2830,,,,5438268.389166666,6356210.339583334,Alumbrado Zona 2,Dado de Baja,456599,27-12-2020,13-08-2026
281000,Transversal,Cable Acerado,En Calle,,,SALTA,2810,,,,5438294.968333333,6356204.854166667,Alumbrado Zona 2,Dado de Baja,456598,27-12-2020,13-08-2026
279000,Transversal,Cable Acerado,En Calle,,,SALTA,2790,,,,5438316.22,6356200.4675,Alumbrado Zona 2,Dado de Baja,456597,27-12-2020,13-08-2026
