Nº de serie,Tipo,Clasificación,Tipo de ubicación,Descripción,Tipo de ubicación,Lugar asociado,Ubicación: Calle,Ubicación: Altura,Ubicación: Letra,Ubicación: Bis,Ubicación: Intersección,Ubicación: Coordenada X,Ubicación: Coordenada Y,Responsable,Dirección,Secretaría,Estado,ID,Fecha alta,Fecha baja,Archivo imagen,
49100,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,CABRAL SARGENTO JUAN B,491,,,,5440633.654,6355271.442,Alumbrado Zona 2,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516925,28-07-2026,,,
48100,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,CABRAL SARGENTO JUAN B,481,,,,5440639.347,6355274.408,Alumbrado Zona 2,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516924,28-07-2026,,,
44100,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,CABRAL SARGENTO JUAN B,441,,,,5440659.475,6355290.039,Alumbrado Zona 2,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516923,28-07-2026,,,
44000,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,CABRAL SARGENTO JUAN B,400,,,,5440662.04,6355331.14,Alumbrado Zona 2,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516922,28-07-2026,,,
41100,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,CABRAL SARGENTO JUAN B,411,,,,5440673.661,6355303.06,Alumbrado Zona 2,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516921,28-07-2026,,,
41000,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,CABRAL SARGENTO JUAN B,410,,,,5440686.696,6355351.642,Alumbrado Zona 2,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516920,28-07-2026,,,
279000,Lámpara,Led - 22,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,GUEMES MARTIN MIGUEL JUAN DE,2790,,,,5438396.704166667,6356590.531666666,Alumbrado Zona 2,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516862,27-07-2026,,,
278000,Lámpara,Led - 22,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,GUEMES MARTIN MIGUEL JUAN DE,2780,,,,5438409.959375,6356587.85875,Alumbrado Zona 2,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516861,27-07-2026,,,
276000,Lámpara,Led - 22,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,GUEMES MARTIN MIGUEL JUAN DE,2760,,,,5438436.469791667,6356582.512916666,Alumbrado Zona 2,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516860,27-07-2026,,,
274000,Lámpara,Led - 22,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,GUEMES MARTIN MIGUEL JUAN DE,2740,,,,5438462.980208333,6356577.167083333,Alumbrado Zona 2,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516859,27-07-2026,,,
272000,Lámpara,Led - 22,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,GUEMES MARTIN MIGUEL JUAN DE,2720,,,,5438489.490625,6356571.82125,Alumbrado Zona 2,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516858,27-07-2026,,,
271000,Lámpara,Led - 22,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,GUEMES MARTIN MIGUEL JUAN DE,2710,,,,5438502.745833333,6356569.148333333,Alumbrado Zona 2,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516857,27-07-2026,,,
269000,Lámpara,Led - 22,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,GUEMES MARTIN MIGUEL JUAN DE,2690,,,,5438523.924166666,6356564.798333333,Alumbrado Zona 2,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516856,27-07-2026,,,
268000,Lámpara,Led - 22,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,GUEMES MARTIN MIGUEL JUAN DE,2680,,,,5438537.141875,6356562.0337499995,Alumbrado Zona 2,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516855,27-07-2026,,,
266000,Lámpara,Led - 22,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,GUEMES MARTIN MIGUEL JUAN DE,2660,,,,5438563.5772916665,6356556.504583333,Alumbrado Zona 2,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516854,27-07-2026,,,
264000,Lámpara,Led - 22,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,GUEMES MARTIN MIGUEL JUAN DE,2640,,,,5438590.012708333,6356550.975416667,Alumbrado Zona 2,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516853,27-07-2026,,,
262000,Lámpara,Led - 22,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,GUEMES MARTIN MIGUEL JUAN DE,2620,,,,5438616.448125,6356545.44625,Alumbrado Zona 2,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516852,27-07-2026,,,
261000,Lámpara,Led - 22,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,GUEMES MARTIN MIGUEL JUAN DE,2610,,,,5438629.6658333335,6356542.681666667,Alumbrado Zona 2,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516851,27-07-2026,,,
259000,Lámpara,Led - 22,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,GUEMES MARTIN MIGUEL JUAN DE,2590,,,,5438650.848333334,6356538.254166666,Alumbrado Zona 2,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516850,27-07-2026,,,
258000,Lámpara,Led - 22,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,GUEMES MARTIN MIGUEL JUAN DE,2580,,,,5438664.108750001,6356535.484375,Alumbrado Zona 2,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516849,27-07-2026,,,
256000,Lámpara,Led - 22,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,GUEMES MARTIN MIGUEL JUAN DE,2560,,,,5438690.629583334,6356529.944791666,Alumbrado Zona 2,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516848,27-07-2026,,,
254000,Lámpara,Led - 22,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,GUEMES MARTIN MIGUEL JUAN DE,2540,,,,5438717.150416667,6356524.405208333,Alumbrado Zona 2,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516847,27-07-2026,,,
252000,Lámpara,Led - 22,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,GUEMES MARTIN MIGUEL JUAN DE,2520,,,,5438743.67125,6356518.865625,Alumbrado Zona 2,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516846,27-07-2026,,,
251000,Lámpara,Led - 22,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,GUEMES MARTIN MIGUEL JUAN DE,2510,,,,5438756.931666667,6356516.095833333,Alumbrado Zona 2,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516845,27-07-2026,,,
249000,Lámpara,Led - 22,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,GUEMES MARTIN MIGUEL JUAN DE,2490,,,,5438778.121666667,6356511.6375,Alumbrado Zona 2,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516844,27-07-2026,,,
248000,Lámpara,Led - 22,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,GUEMES MARTIN MIGUEL JUAN DE,2480,,,,5438791.34875,6356508.834375,Alumbrado Zona 2,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516843,27-07-2026,,,
