Nº de serie,Tipo,Clasificación,Tipo de ubicación,Descripción,Tipo de ubicación,Lugar asociado,Ubicación: Calle,Ubicación: Altura,Ubicación: Letra,Ubicación: Bis,Ubicación: Intersección,Ubicación: Coordenada X,Ubicación: Coordenada Y,Responsable,Dirección,Secretaría,Estado,ID,Fecha alta,Fecha baja,Archivo imagen,
289158,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,BUENOS AIRES,2891,,,,5440276.857755102,6352150.314285714,Alumbrado Zona 3,Alumbrado Público,Ambiente y Espacio Público,En Servicio,517043,29-07-2026,,,
287158,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,BUENOS AIRES,2871,,,,5440282.127142857,6352176.3,Alumbrado Zona 3,Alumbrado Público,Ambiente y Espacio Público,En Servicio,517042,29-07-2026,,,
285158,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,BUENOS AIRES,2851,,,,5440287.396530612,6352202.285714285,Alumbrado Zona 3,Alumbrado Público,Ambiente y Espacio Público,En Servicio,517041,29-07-2026,,,
283158,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,BUENOS AIRES,2831,,,,5440292.665918368,6352228.271428571,Alumbrado Zona 3,Alumbrado Público,Ambiente y Espacio Público,En Servicio,517040,29-07-2026,,,
281158,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,BUENOS AIRES,2811,,,,5440297.9353061225,6352254.257142857,Alumbrado Zona 3,Alumbrado Público,Ambiente y Espacio Público,En Servicio,517039,29-07-2026,,,
289158,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,ROSAS BRGD. JUAN MANUEL DE,2891,,,,5440409.084693878,6352123.095918368,Alumbrado Zona 3,Alumbrado Público,Ambiente y Espacio Público,En Servicio,517038,29-07-2026,,,
287158,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,ROSAS BRGD. JUAN MANUEL DE,2871,,,,5440414.221428571,6352149.085714286,Alumbrado Zona 3,Alumbrado Público,Ambiente y Espacio Público,En Servicio,517037,29-07-2026,,,
285158,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,ROSAS BRGD. JUAN MANUEL DE,2851,,,,5440419.3581632655,6352175.075510204,Alumbrado Zona 3,Alumbrado Público,Ambiente y Espacio Público,En Servicio,517036,29-07-2026,,,
283158,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,ROSAS BRGD. JUAN MANUEL DE,2831,,,,5440424.49489796,6352201.065306122,Alumbrado Zona 3,Alumbrado Público,Ambiente y Espacio Público,En Servicio,517035,29-07-2026,,,
281158,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,ROSAS BRGD. JUAN MANUEL DE,2811,,,,5440429.631632653,6352227.055102041,Alumbrado Zona 3,Alumbrado Público,Ambiente y Espacio Público,En Servicio,517034,29-07-2026,,,
279158,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,ROSAS BRGD. JUAN MANUEL DE,2791,,,,5440434.363265307,6352250.485918367,Alumbrado Zona 3,Alumbrado Público,Ambiente y Espacio Público,En Servicio,517033,29-07-2026,,,
277158,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,ROSAS BRGD. JUAN MANUEL DE,2771,,,,5440439.771428572,6352276.5757142855,Alumbrado Zona 3,Alumbrado Público,Ambiente y Espacio Público,En Servicio,517032,29-07-2026,,,
275158,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,ROSAS BRGD. JUAN MANUEL DE,2751,,,,5440445.179591837,6352302.665510204,Alumbrado Zona 3,Alumbrado Público,Ambiente y Espacio Público,En Servicio,517031,29-07-2026,,,
273158,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,ROSAS BRGD. JUAN MANUEL DE,2731,,,,5440450.587755103,6352328.755306122,Alumbrado Zona 3,Alumbrado Público,Ambiente y Espacio Público,En Servicio,517030,29-07-2026,,,
271158,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,ROSAS BRGD. JUAN MANUEL DE,2711,,,,5440455.995918368,6352354.84510204,Alumbrado Zona 3,Alumbrado Público,Ambiente y Espacio Público,En Servicio,517029,29-07-2026,,,
289158,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,PRIMERO DE MAYO,2891,,,,5440558.716122449,6352092.24632653,Alumbrado Zona 3,Alumbrado Público,Ambiente y Espacio Público,En Servicio,517028,29-07-2026,,,
287158,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,PRIMERO DE MAYO,2871,,,,5440563.981428572,6352118.187142857,Alumbrado Zona 3,Alumbrado Público,Ambiente y Espacio Público,En Servicio,517027,29-07-2026,,,
285158,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,PRIMERO DE MAYO,2851,,,,5440569.246734695,6352144.127959184,Alumbrado Zona 3,Alumbrado Público,Ambiente y Espacio Público,En Servicio,517026,29-07-2026,,,
283158,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,PRIMERO DE MAYO,2831,,,,5440574.512040816,6352170.06877551,Alumbrado Zona 3,Alumbrado Público,Ambiente y Espacio Público,En Servicio,517025,29-07-2026,,,
281158,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,PRIMERO DE MAYO,2811,,,,5440579.777346939,6352196.009591837,Alumbrado Zona 3,Alumbrado Público,Ambiente y Espacio Público,En Servicio,517024,29-07-2026,,,
67158,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,VIRASORO GRAL. BENJAMIN,671,,,,5440338.178571429,6352259.478571429,Alumbrado Zona 3,Alumbrado Público,Ambiente y Espacio Público,En Servicio,517017,29-07-2026,,,
65158,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,VIRASORO GRAL. BENJAMIN,651,,,,5440365.041836735,6352253.92755102,Alumbrado Zona 3,Alumbrado Público,Ambiente y Espacio Público,En Servicio,517016,29-07-2026,,,
63158,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,VIRASORO GRAL. BENJAMIN,631,,,,5440391.905102041,6352248.376530612,Alumbrado Zona 3,Alumbrado Público,Ambiente y Espacio Público,En Servicio,517015,29-07-2026,,,
61158,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,VIRASORO GRAL. BENJAMIN,611,,,,5440418.768367347,6352242.825510204,Alumbrado Zona 3,Alumbrado Público,Ambiente y Espacio Público,En Servicio,517014,29-07-2026,,,
279000,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,ALEM LEANDRO N,2790,,,,5440713.75,6352192.951,Alumbrado Zona 3,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516986,29-07-2026,,,
277000,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,ALEM LEANDRO N,2770,,,,5440719.25,6352219.628,Alumbrado Zona 3,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516985,29-07-2026,,,
275000,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,ALEM LEANDRO N,2750,,,,5440724.75,6352246.305,Alumbrado Zona 3,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516984,29-07-2026,,,
271000,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,ALEM LEANDRO N,2709,,,,5440735.75,6352299.659,Alumbrado Zona 3,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516983,29-07-2026,,,
285058,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,ALEM LEANDRO N,2850,,,,5440699.81,6352124.76,Alumbrado Zona 3,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516982,29-07-2026,,,
289000,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,ALEM LEANDRO N,2890,,,,5440687.935,6352066.86,Alumbrado Zona 3,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516980,29-07-2026,,,
287000,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,ALEM LEANDRO N,2870,,,,5440693.872,6352095.81,Alumbrado Zona 3,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516979,29-07-2026,,,
283000,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,ALEM LEANDRO N,2831,,,,5440704.404,6352147.268,Alumbrado Zona 3,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516977,29-07-2026,,,
281000,Lámpara,Led - 16,En Columna - En Calle,CARAC:58,En Columna - En Calle,,ALEM LEANDRO N,2810,,,,5440709.508,6352172.277,Alumbrado Zona 3,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516976,29-07-2026,,,
